name,symbol,fullname,Second
AT1G01040,ASU1,ABNORMAL SUSPENSOR 1," ATDCL1--DICER-LIKE 1,   CAF--CARPEL FACTORY,   DCL1--dicer-like 1,   EMB60--EMBRYO DEFECTIVE 60,   EMB76--EMBRYO DEFECTIVE 76,   SIN1--SHORT INTEGUMENTS 1,   SUS1--SUSPENSOR 1"
AT1G01046,MIR838A,microRNA838A,NA
AT1G01050,AtPPa1,pyrophosphorylase 1, PPa1--pyrophosphorylase 1
AT1G01060,LHY,LATE ELONGATED HYPOCOTYL, LHY1--LATE ELONGATED HYPOCOTYL 1
AT1G01070,UMAMIT28,Usually multiple acids move in and out Transporters 28,NA
AT1G01090,PDH-E1 ALPHA,pyruvate dehydrogenase E1 alpha,NA
AT1G01100,RPP1.1,RPP1 co-orthologous gene 1, RPP1A--60S acidic ribosomal protein P1-1
AT1G01110,IQD18,IQ-domain 18,NA
AT1G01120,KCS1,3-ketoacyl-CoA synthase 1,NA
AT1G01140,CIPK9,CBL-interacting protein kinase 9," PKS6--PROTEIN KINASE 6,   SnRK3.12--SNF1-RELATED PROTEIN KINASE 3.12"
AT1G01160,GIF2,GRF1-interacting factor 2,NA
AT1G01183,MIR165,MICRORNA 165, MIR165A--microRNA165A
AT1G01184,miPEP165a,miPEP165a,NA
AT1G01190,CYP78A8,"cytochrome P450, family 78, subfamily A, polypeptide 8",NA
AT1G01200,ATRAB-A3,ARABIDOPSIS RAB GTPASE HOMOLOG A3," ATRABA3--RAB GTPase homolog A3,   RABA3--RAB GTPase homolog A3"
AT1G01220,AtFKGP,Arabidopsis thaliana L-fucokinase/GDP-L-fucose pyrophosphorylase, FKGP--L-fucokinase/GDP-L-fucose pyrophosphorylase
AT1G01230,AtORM1,"NA",NA
AT1G01260,bHLH013,"NA"," bHLH13--NA,   JAM2--Jasmonate Associated MYC2 LIKE 2"
AT1G01280,CYP703,"NA"," CYP703A2--cytochrome P450, family 703, subfamily A, polypeptide 2"
AT1G01290,CNX3,cofactor of nitrate reductase and xanthine dehydrogenase 3,NA
AT1G01320,REC1,REDUCED CHLOROPLAST COVERAGE,NA
AT1G01335,AREP1,auxin-responsive endogenous polypeptide 1,NA
AT1G01340,ACBK1,"NA"," ATCNGC10--cyclic nucleotide gated channel 10,   CNGC10--cyclic nucleotide gated channel 10"
AT1G01360,PYL9,PYRABACTIN RESISTANCE 1-LIKE 9, RCAR1--regulatory component of ABA receptor 1
AT1G01370,CENH3,CENTROMERIC HISTONE H3, HTR12--NA
AT1G01380,ETC1,ENHANCER OF TRY AND CPC 1,NA
AT1G01410,APUM22,pumilio 22, PUM22--pumilio 22
AT1G01420,UGT72B3,UDP-glucosyl transferase 72B3,NA
AT1G01430,MOAT3,mannan O-acetyltransferase 3, TBL25--TRICHOME BIREFRINGENCE-LIKE 25
AT1G01460,ATPIPK11,"NA", PIPK11--NA
AT1G01470,AtLEA14,Arabidopsis thaliana Late Embryogenesis abundant 14," LEA1--NA,   LEA14--LATE EMBRYOGENESIS ABUNDANT 14,   LSR3--LIGHT STRESS-REGULATED 3"
AT1G01480,ACS2,1-amino-cyclopropane-1-carboxylate synthase 2, AT-ACC2--NA
AT1G01510,AN,ANGUSTIFOLIA, DOQ--DETORQUEO
AT1G01520,ASG4,ALTERED SEED GERMINATION 4, REV3--REVEILLE 3
AT1G01530,AGL28,AGAMOUS-like 28,NA
AT1G01550,BPS1,BYPASS 1,NA
AT1G01560,ATMPK11,MAP kinase 11, MPK11--MAP kinase 11
AT1G01580,ATFRO2,FERRIC REDUCTION OXIDASE 2," FRD1--FERRIC CHELATE REDUCTASE DEFECTIVE 1,   FRO2--ferric reduction oxidase 2"
AT1G01590,ATFRO1,FERRIC REDUCTION OXIDASE 1, FRO1--ferric reduction oxidase 1
AT1G01600,CYP86A4,"cytochrome P450, family 86, subfamily A, polypeptide 4",NA
AT1G01610,ATGPAT4,GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 4, GPAT4--GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 4
AT1G01620,PIP1;3,PLASMA MEMBRANE INTRINSIC PROTEIN 1;3," PIP1C--plasma membrane intrinsic protein 1C,   TMP-B--NA"
AT1G01650,ATSPPL4,ARABIDOPSIS THALIANA SIGNAL PEPTIDE PEPTIDASE-LIKE 4, SPPL4--SIGNAL PEPTIDE PEPTIDASE-LIKE 4
AT1G01680,ATPUB54,PLANT U-BOX 54, PUB54--plant U-box 54
AT1G01690,ATPRD3,ARABIDOPSIS THALIANA PUTATIVE RECOMBINATION INITIATION DEFECTS 3, PRD3--putative recombination initiation defects 3
AT1G01695,TRM33,TON1 Recruiting Motif 33,NA
AT1G01700,ATROPGEF2,"NA", ROPGEF2--ROP (rho of plants) guanine nucleotide exchange factor 2
AT1G01720,ANAC002,Arabidopsis NAC domain containing protein 2," ANAC2--NA,   ATAF1--NA"
AT1G01740,BSK4,brassinosteroid-signaling kinase 4,NA
AT1G01750,ADF11,actin depolymerizing factor 11,NA
AT1G01760,AtTAD1,"NA", TAD1--ortholog of yeast Tad1
AT1G01780,PLIM2b,PLIM2b,NA
AT1G01790,ATKEA1,K+ EFFLUX ANTIPORTER 1, KEA1--K+ efflux antiporter 1
AT1G01820,PEX11C,peroxin 11c,NA
AT1G01860,PFC1,PALEFACE 1,NA
AT1G01880,AtGEN1,"NA", GEN1--ortholog of HsGEN1
AT1G01900,ATSBT1.1,"NA", SBTI1.1--NA
AT1G01910,AtGET3a,Guided Entry of Tail-anchored protein 3a, GET3a--Guided Entry of Tail-anchored protein 3a
AT1G01950,ARK2,armadillo repeat kinesin 2," AtKINUb--Arabidopsis thaliana KINESIN Ungrouped clade, gene B"
AT1G01960,BIG3,BIG3, EDA10--embryo sac development arrest 10
AT1G01980,AtBBE1,"NA", OGOX4--oligogalacturonide oxidase 4
AT1G02000,GAE2,UDP-D-glucuronate 4-epimerase 2,NA
AT1G02010,SEC1A,secretory 1A,NA
AT1G02050,LAP6,LESS ADHESIVE POLLEN 6, PKSA--polyketide synthase A
AT1G02065,SPL8,squamosa promoter binding protein-like 8,NA
AT1G02080,NOT1,"NA",NA
AT1G02090,ATCSN7,ARABIDOPSIS THALIANA COP9 SIGNALOSOME SUBUNIT 7," COP15--CONSTITUTIVE PHOTOMORPHOGENIC 15,   CSN7--COP9 SIGNALOSOME SUBUNIT 7,   FUS5--FUSCA 5"
AT1G02100,LCMT1,leucine carboxyl methyl transferase 1, SBI1--SUPPRESSOR OF BRI1
AT1G02120,VAD1,VASCULAR ASSOCIATED DEATH1,NA
AT1G02130,ARA-5,RAS 5," ARA5--ARABIDOPSIS RAS 5,   ATRAB1B--ARABIDOPSIS THALIANA RESPONSIVE TO ABSCISIC ACID 1B,   ATRABD2A--ARABIDOPSIS THALIANA RAB D2A,   RA-5--RAS 5,   RABD2A--RAB D2A"
AT1G02140,HAP1,HAPLESS 1," MAGO--MAGO NASHI,   MEE63--MATERNAL EFFECT EMBRYO ARREST 63"
AT1G02145,ALG12,homolog of asparagine-linked glycosylation 12, EBS4--EMS-MUTAGENIZED BRI1(BRASSINOSTEROID INSENSITIVE 1) SUPPRESSOR 4
AT1G02170,ATMC1,ARABIDOPSIS THALIANA METACASPASE 1," AtMCP1b--metacaspase 1b,   ATMCPB1--ARABIDOPSIS THALIANA METACASPASE 1B,   LOL3--LSD ONE LIKE 3,   MC1--metacaspase 1,   MCP1b--metacaspase 1b"
AT1G02190,CER1-L1,ECERIFERUM1-like1,NA
AT1G02205,CER1,ECERIFERUM 1, CER22--ECERIFERUM 22
AT1G02220,ANAC003,NAC domain containing protein 3, NAC003--NAC domain containing protein 3
AT1G02230,ANAC004,NAC domain containing protein 4, NAC004--NAC domain containing protein 4
AT1G02250,anac005,NAC domain containing protein 5, NAC005--NAC domain containing protein 5
AT1G02280,ATTOC33,"NA"," PPI1--PLASTID PROTEIN IMPORT 1,   TOC33--translocon at the outer envelope membrane of chloroplasts 33"
AT1G02300,AtcathB1,"NA",NA
AT1G02305,AtcathB2,"NA",NA
AT1G02310,MAN1,endo-beta-mannanase 1,NA
AT1G02330,CSU2,COP1 SUPPRESSOR 2,NA
AT1G02335,GL22,germin-like protein subfamily 2 member 2 precursor, PDGLP2--PLASMODESMAL GERMIN-LIKE PROTEIN 2
AT1G02340,FBI1,"NA"," HFR1--LONG HYPOCOTYL IN FAR-RED,   REP1--REDUCED PHYTOCHROME SIGNALING 1,   RSF1--REDUCED SENSITIVITY TO FAR-RED LIGHT 1"
AT1G02390,ATGPAT2,GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 2, GPAT2--GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 2
AT1G02400,ATGA2OX4,Arabidopsis thaliana gibberellin 2-oxidase 4," ATGA2OX6--ARABIDOPSIS THALIANA GIBBERELLIN 2-OXIDASE 6,   DTA1--DOWNSTREAM TARGET OF AGL15 1,   GA2OX6--gibberellin 2-oxidase 6"
AT1G02410,COX11,cytochrome c oxidase 11,NA
AT1G02430,ARFD1B,ADP-ribosylation factor D1B, ATARFD1B--ADP-ribosylation factor D1B
AT1G02440,ARFD1A,ADP-ribosylation factor D1A, ATARFD1A--ADP-ribosylation factor D1A
AT1G02450,NIMIN-1,"NA", NIMIN1--NIM1-interacting 1
AT1G02500,AtSAM1,"NA"," MAT1--NA,   METK1--NA,   SAM-1--S-ADENOSYLMETHIONINE SYNTHETASE-1,   SAM1--S-adenosylmethionine synthetase 1"
AT1G02510,ATKCO4,CA2+ ACTIVATED OUTWARD RECTIFYING K+ CHANNEL 4," ATTPK4--NA,   KCO4--CA2+ ACTIVATED OUTWARD RECTIFYING K+ CHANNEL 4,   TPK4--NA"
AT1G02520,ABCB11,ATP-binding cassette B11," MDR8--multi-drug resistance 8,   PGP11--P-glycoprotein 11"
AT1G02530,ABCB12,ATP-binding cassette B12, PGP12--P-glycoprotein 12
AT1G02560,CLPP5,nuclear encoded CLP protease 5," NCLPP1--NUCLEAR-ENCODED CLPP 1,   NCLPP5--NUCLEAR CLPP 5"
AT1G02580,EMB173,EMBRYO DEFECTIVE 173," FIS1--FERTILIZATION INDEPENDENT SEED 1,   MEA--MEDEA,   SDG5--SET DOMAIN-CONTAINING PROTEIN 5"
AT1G02640,ATBXL2,BETA-XYLOSIDASE 2, BXL2--beta-xylosidase 2
AT1G02660,PLIP2,PLASTID LIPASE2,NA
AT1G02680,TAF13,TBP-associated factor 13,NA
AT1G02690,IMPA-6,importin alpha isoform 6,NA
AT1G02720,AtGATL5,"NA", GATL5--galacturonosyltransferase-like 5
AT1G02730,ATCSLD5,cellulose synthase-like D5," CSLD5--CELLULOSE SYNTHASE LIKE D5,   CSLD5--cellulose synthase-like D5,   SOS6--SALT OVERLY SENSITIVE 6"
AT1G02740,MRG2,MORF related gene 2,NA
AT1G02780,emb2386,embryo defective 2386,NA
AT1G02790,PGA4,polygalacturonase 4,NA
AT1G02800,ATCEL2,cellulase 2," CEL2--NA,   CEL2--cellulase 2"
AT1G02820,AtLEA3,"NA"," LEA2--late embryogenesis abundant 38,   LEA3--late embryogenesis abundant 3"
AT1G02840,At-SR34,Serine/Arginine-Rich Protein Splicing Factor 34," ATSRP34--NA,   SR1--NA,   SR34--Serine/Arginine-Rich Protein Splicing Factor 34,   SRP34--NA"
AT1G02850,BGLU11,beta glucosidase 11,NA
AT1G02860,BAH1,BENZOIC ACID HYPERSENSITIVE 1," NLA--nitrogen limitation adaptation,   SYG1--NA"
AT1G02880,TPK1,thiamin pyrophosphokinase1,NA
AT1G02900,ATRALF1,RAPID ALKALINIZATION FACTOR 1," RALF1--rapid alkalinization factor 1,   RALFL1--RALF-LIKE 1"
AT1G02910,LPA1,LOW PSII ACCUMULATION1,NA
AT1G02920,ATGST11,ARABIDOPSIS GLUTATHIONE S-TRANSFERASE 11," ATGSTF7--NA,   ATGSTF8--NA,   GST11--GLUTATHIONE S-TRANSFERASE 11,   GSTF7--glutathione S-transferase 7"
AT1G02930,ATGST1,ARABIDOPSIS GLUTATHIONE S-TRANSFERASE 1," ATGSTF3--ARABIDOPSIS THALIANA GLUATIONE S-TRANSFERASE F3,   ATGSTF6--GLUTATHIONE S-TRANSFERASE,   ERD11--EARLY RESPONSIVE TO DEHYDRATION 11,   GST1--GLUTATHIONE S-TRANSFERASE 1,   GSTF6--glutathione S-transferase 6"
AT1G02940,ATGSTF5,GLUTATHIONE S-TRANSFERASE (CLASS PHI) 5, GSTF5--glutathione S-transferase (class phi) 5
AT1G02950,ATGSTF4,glutathione S-transferase F4," GST31--GLUTATHIONE S-TRANSFERASE 31,   GSTF4--glutathione S-transferase F4"
AT1G02970,ATWEE1,"NA", WEE1--WEE1 kinase homolog
AT1G02980,ATCUL2,"NA", CUL2--cullin 2
AT1G03000,PEX6,peroxin 6,NA
AT1G03020,GRXS1,"NA", ROXY16--NA
AT1G03050,PICALM5A,Phosphatidylinositol binding clathrin assembly protein 5a,NA
AT1G03055,AtD27,A. thaliana homolog of rice D27, D27--DWARF27
AT1G03060,BCHA1,Beach-Domain Homolog A1, SPI--SPIRRIG
AT1G03070,AtLFG4,"NA", LFG4--LIFEGUARD 4
AT1G03080,NET1D,Networked 1D,NA
AT1G03090,MCCA,"NA",NA
AT1G03110,AtTRM82,"NA", TRM82--tRNA modification 82
AT1G03120,RAB28,responsive to abscisic acid 28,NA
AT1G03130,PSAD-2,photosystem I subunit D-2,NA
AT1G03140,PRP18a,pre-mRNA processing  factor 18a,NA
AT1G03160,FZL,FZO-like,NA
AT1G03170,FAF2,FANTASTIC FOUR 2, FTM5--FLORAL TRANSITION AT THE MERISTEM5
AT1G03190,ATXPD,ARABIDOPSIS THALIANA XERODERMA PIGMENTOSUM GROUP D, UVH6--ULTRAVIOLET HYPERSENSITIVE 6
AT1G03220,SAP2,secreted aspartic protease 2,NA
AT1G03230,SAP1,secreted aspartic protease 1,NA
AT1G03300,ATDUF1,DOMAIN OF UNKNOWN FUNCTION 724 1, DUF1--DOMAIN OF UNKNOWN FUNCTION 724 1
AT1G03310,AtBE2,"NA"," ATISA2--ARABIDOPSIS THALIANA ISOAMYLASE 2,   BE2--BRANCHING ENZYME 2,   DBE1--debranching enzyme 1,   ISA2--NA"
AT1G03330,LSM2,SM-like 2,NA
AT1G03360,ATRRP4,ribosomal RNA processing 4," RRP4--ribosomal RNA processing 4,   SOP2--SUPPRESSOR OF PAS2 2"
AT1G03380,ATATG18G,homolog of yeast autophagy 18 (ATG18) G, ATG18G--homolog of yeast autophagy 18 (ATG18) G
AT1G03410,2A6,"NA",NA
AT1G03420,Sadhu4-2,sadhu non-coding retrotransposon 4-2,NA
AT1G03430,AHP5,histidine-containing phosphotransfer factor 5,NA
AT1G03445,BSU1,BRI1 SUPPRESSOR 1,NA
AT1G03457,AtBRN2,"NA", BRN2--Bruno-like 2
AT1G03470,NET3A,Networked 3A,NA
AT1G03475,ATCPO-I,"NA"," HEMF1--NA,   LIN2--LESION INITIATION 2"
AT1G03490,ANAC006,NAC domain containing protein 6, NAC006--NAC domain containing protein 6
AT1G03530,ATNAF1,"NA", NAF1--nuclear assembly factor 1
AT1G03550,AtSCAMP4,"NA", SCAMP4--Secretory carrier membrane protein 4
AT1G03600,PSB27,"NA",NA
AT1G03630,POR C,protochlorophyllide oxidoreductase C, PORC--NA
AT1G03680,ATHM1,thioredoxin M-type 1," ATM1--ARABIDOPSIS THIOREDOXIN M-TYPE 1,   THM1--thioredoxin M-type 1,   TRX-M1--THIOREDOXIN M-TYPE 1"
AT1G03700,CASPL1C2,CASP-like protein 1C2,NA
AT1G03750,CHR9,CHROMATIN REMODELING 9,NA
AT1G03770,ATRING1B,ARABIDOPSIS THALIANA RING 1B, RING1B--RING 1B
AT1G03780,AtTPX2,"NA", TPX2--targeting protein for XKLP2
AT1G03790,AtTZF4,"NA"," SOM--SOMNUS,   TZF4--Tandem CCCH Zinc Finger protein 4"
AT1G03800,ATERF10,ARABIDOPSIS THALIANA RF DOMAIN PROTEIN 10, ERF10--ERF domain protein 10
AT1G03830,GBPL1,GUANYLATE-BINDING PROTEIN-LIKE 1,NA
AT1G03840,IDD3,INDETERMINATE DOMAIN 3, MGP--Magpie
AT1G03850,ATGRXS13,glutaredoxin 13," GRXS13--glutaredoxin 13,   ROXY18--NA"
AT1G03860,ATPHB2,prohibitin 2, PHB2--prohibitin 2
AT1G03870,FLA9,FASCICLIN-like arabinoogalactan 9,NA
AT1G03880,CRB,CRUCIFERIN B, CRU2--cruciferin 2
AT1G03900,ABCI18,ATP-binding cassette I18," ATNAP4--non-intrinsic ABC protein 4,   NAP4--non-intrinsic ABC protein 4"
AT1G03905,ABCI19,ATP-binding cassette I19, ATNAP4--non-intrinsic ABC protein 4
AT1G03910,CTN,CACTIN,NA
AT1G03930,ADK1,dual specificity kinase 1," CKL9ALPHA--CASEIN KINASE I-LIKE 9 ALPHA,   CKL9BETA--CASEIN KINASE I-LIKE 9 BETA"
AT1G03950,VPS2.3,vacuolar protein sorting-associated protein 2.3,NA
AT1G03970,GBF4,G-box binding factor 4,NA
AT1G03980,ATPCS2,phytochelatin synthase 2, PCS2--phytochelatin synthase 2
AT1G04010,ATPSAT1,"NA"," ERP1--enhanced response to Phytophthora 1,   PSAT1--phospholipid sterol acyl transferase 1"
AT1G04020,ATBARD1,"NA"," BARD1--breast cancer associated RING 1,   ROW1--REPRESSOR OF WUSCHEL1"
AT1G04027,ath-MIR2112,"NA",NA
AT1G04050,SDG13,SET DOMAIN PROTEIN 13, SUVR1--homolog of SU(var)3-9 1
AT1G04070,ATTOM22-I,"NA", TOM22-I--translocase of outer membrane 22-I
AT1G04080,PRP39,"NA", PRP39a--NA
AT1G04100,IAA10,indoleacetic acid-induced protein 10,NA
AT1G04110,AtSDD1,"NA", SDD1--STOMATAL DENSITY AND DISTRIBUTION 1
AT1G04120,ABCC5,ATP-binding cassette C5," ATABCC5--Arabidopsis thaliana ATP-binding cassette C5,   ATMRP5--multidrug resistance-associated protein 5,   MRP5--MULTIDRUG RESISTANCE PROTEIN 5,   MRP5--multidrug resistance-associated protein 5"
AT1G04130,AtTPR2,"NA", TPR2--tetratricopeptide repeat 2
AT1G04150,MCTP10,multiple C2 domain and transmembrane region protein 10,NA
AT1G04160,ATXIB,ARABIDOPSIS THALIANA MYOSIN XI B," XI-8--MYOSIN XI-8,   XI-B--MYOSIN XI B,   XIB--myosin XI B"
AT1G04170,EIF2 GAMMA,eukaryotic translation initiation factor 2 gamma subunit,NA
AT1G04180,YUC9,YUCCA 9,NA
AT1G04190,TPR3,tetratricopeptide repeat 3,NA
AT1G04220,DAISY,DAISY, KCS2--3-ketoacyl-CoA synthase 2
AT1G04240,IAA3,indole-3-acetic acid inducible 3, SHY2--SHORT HYPOCOTYL 2
AT1G04250,AtIAA17,"NA"," AXR3--AUXIN RESISTANT 3,   IAA17--indole-3-acetic acid inducible 17"
AT1G04260,MPI7,CAMV movement protein interacting protein 7," MPIP7--CAMV MOVEMENT PROTEIN INTERACTING PROTEIN 7,   PRA1.D--PRENYLATED RAB ACCEPTOR 1.D"
AT1G04263,U5-6,"NA",NA
AT1G04270,RPS15,cytosolic ribosomal protein S15,NA
AT1G04300,MUSE13,"NA", TRAF1b--Tumor necrosis factor Receptor-Associated Factor 1b
AT1G04310,ERS2,ethylene response sensor 2,NA
AT1G04330,PH2,"NA",NA
AT1G04360,ATL1,ARABIDOPSIS TOXICOS EN LEVADURA 1,NA
AT1G04370,ATERF14,Ethylene-responsive element binding factor 14," ERF14--Ethylene-responsive element binding factor 14,   ERF97--NA"
AT1G04393,ath-MIR5640,"NA",NA
AT1G04400,AT-PHH1,"NA"," ATCRY2--NA,   CRY2--cryptochrome 2,   FHA--NA,   PHH1--NA"
AT1G04410,c-NAD-MDH1,cytosolic-NAD-dependent malate dehydrogenase 1,NA
AT1G04423,ath-MIR5656,"NA",NA
AT1G04440,CKL13,casein kinase like 13,NA
AT1G04450,RIC3,ROP-interactive CRIB motif-containing protein 3,NA
AT1G04510,MAC3A,MOS4-associated  complex 3A, PUB59--Plant U-box 59
AT1G04520,PDLP2,plasmodesmata-located protein 2,NA
AT1G04530,TPR4,tetratricopeptide repeat 4,NA
AT1G04550,BDL,BODENLOS, IAA12--indole-3-acetic acid inducible 12
AT1G04580,AAO4,aldehyde oxidase 4," AO4--aldehyde oxidase 4,   ATAO-4--arabdopsis thaliana aldehyde oxidase 4,   ATAO2--ALDEHYDE OXIDASE 2"
AT1G04600,ATXIA,"NA", XIA--myosin XI A
AT1G04610,YUC3,YUCCA 3,NA
AT1G04620,HCAR,7-hydroxymethyl chlorophyll a (HMChl) reductase,NA
AT1G04630,MEE4,maternal effect embryo arrest 4,NA
AT1G04635,AtPOP5,"NA"," EMB1687--EMBRYO DEFECTIVE 1687,   POP5--A. thaliana homolog of yeast POP5"
AT1G04640,LIP2,lipoyltransferase 2,NA
AT1G04650,FLIP,FIDGETIN-LIKE-1 INTERACTING PROTEIN,NA
AT1G04690,KAB1,potassium channel beta subunit 1, KV-BETA1--NA
AT1G04710,KAT1,3-KETO-ACYL-COA THIOLASE 1, PKT4--peroxisomal 3-ketoacyl-CoA thiolase  4
AT1G04730,CTF18,CHROMOSOME TRANSMISSION FIDELITY 18,NA
AT1G04733,U2-11,"NA",NA
AT1G04750,AT VAMP7B,"NA"," ATVAMP721--NA,   VAMP721--vesicle-associated membrane protein 721,   VAMP7B--VESICLE-ASSOCIATED MEMBRANE PROTEIN 7B"
AT1G04760,ATVAMP726,vesicle-associated membrane protein 726, VAMP726--vesicle-associated membrane protein 726
AT1G04770,SDI2,Sulfur Deficiency Induced 2,NA
AT1G04820,TOR2,TORTIFOLIA 2, TUA4--tubulin alpha-4 chain
AT1G04860,ATUBP2,"NA", UBP2--ubiquitin-specific protease 2
AT1G04870,ATPRMT10,"NA", PRMT10--protein arginine methyltransferase 10
AT1G04880,AtHMGB15,ARID-HMG DNA-binding protein 15, HMGBD15--ARID-HMG DNA-binding protein 15
AT1G04897,U4-6,"NA",NA
AT1G04907,U1-10,"NA",NA
AT1G04920,ATSPS3F,sucrose phosphate synthase 3F, SPS3F--sucrose phosphate synthase 3F
AT1G04940,atTIC20,translocon at the inner envelope membrane of chloroplasts 20," AtTic20-I--translocon at the inner envelope membrane of chloroplasts 20-I,   TIC20--translocon at the inner envelope membrane of chloroplasts 20,   Tic20-I--translocon at the inner envelope membrane of chloroplasts 20-I"
AT1G04950,ATTAF6,"NA"," EMB2781--EMBRYO DEFECTIVE 2781,   TAF6--TBP-associated factor 6,   TAFII59--TATA BOX ASSOCIATED FACTOR II 59"
AT1G04970,LBR-1,"NA",NA
AT1G04980,ATPDI10,ARABIDOPSIS THALIANA PROTEIN DISULFIDE ISOMERASE 10," ATPDIL2-2--PDI-like 2-2,   PDI10--PROTEIN DISULFIDE ISOMERASE,   PDIL2-2--PDI-like 2-2"
AT1G04993,ath-MIR8166,"NA",NA
AT1G05000,AtPFA-DSP1,"NA", PFA-DSP1--plant and fungi atypical dual-speci&#64257;city phosphatase 1
AT1G05010,ACO4,ethylene forming enzyme," EAT1--NA,   EFE--ethylene-forming enzyme"
AT1G05020,AP180,ANTH protein 180, PICALM6--NA
AT1G05055,ATGTF2H2,"NA", GTF2H2--general transcription factor II H2
AT1G05057,U2-14,"NA",NA
AT1G05065,CLE20,CLAVATA3/ESR-RELATED 20,NA
AT1G05100,MAPKKK18,mitogen-activated protein kinase kinase kinase 18,NA
AT1G05160,ATKAO1,"NA"," CYP88A3--cytochrome P450, family 88, subfamily A, polypeptide 3,   KAO1--ENT-KAURENOIC ACID OXYDASE 1"
AT1G05180,AXR1,AUXIN RESISTANT 1,NA
AT1G05190,EMB2394,embryo defective 2394, RPL6--NA
AT1G05200,ATGLR3.4,glutamate receptor 3.4," GLR3.4--glutamate receptor 3.4,   GLUR3--NA"
AT1G05230,HDG2,homeodomain GLABROUS 2,NA
AT1G05240,PR9,Pathogenesis related 9,NA
AT1G05250,AtPRX1,"NA", PRX2--peroxidase 2
AT1G05260,RCI3,RARE COLD INDUCIBLE GENE 3, RCI3A--NA
AT1G05273,U2-1,"NA",NA
AT1G05290,OMG1,Orbitally Manifested Gene 1,NA
AT1G05300,ZIP5,zinc transporter 5 precursor,NA
AT1G05320,PICL,PICC-LIKE,NA
AT1G05340,AthCYSTM1,Cysteine-Rich Transmembrane Module 1,NA
AT1G05360,KMS2,Killing Me Slowly 2,NA
AT1G05385,LPA19,LOW PSII ACCUMULATION 19, Psb27-H1--NA
AT1G05420,ATOFP12,ARABIDOPSIS THALIANA OVATE FAMILY PROTEIN 12, OFP12--ovate family protein 12
AT1G05460,SDE3,SILENCING DEFECTIVE,NA
AT1G05470,CVP2,COTYLEDON VASCULAR PATTERN 2,NA
AT1G05490,chr31,chromatin remodeling 31, CLSY3--CLASSY3
